"date" "P" "ETpot" "Q"
2011012904 0 0 0.0428
2011012905 0 0 0.0421
2011012906 0 0 0.0414
2011012907 0 0.005 0.0407
2011012908 0 0.037 0.0402
2011012909 0 0.0791 0.0398
2011012910 0 0.101 0.0398
2011012911 0 0.1195 0.0398
2011012912 0 0.1144 0.0402
2011012913 0 0.0858 0.0401
2011012914 0 0.0463 0.0398
2011012915 0 0.0118 0.0398
2011012916 0 0 0.0397
2011012917 0 0 0.0395
2011012918 0 0 0.0391
2011012919 0 0 0.0388
2011012920 0 0 0.0383
2011012921 0 0 0.0377
2011012922 0 0 0.0369
2011012923 0 0 0.0359
2011013000 0 0 0.0338
2011013001 0 0 0.0314
2011013002 0 0 0.0304
2011013003 0 0 0.0306
2011013004 0 0 0.032
2011013005 0 0 0.0333
2011013006 0 0 0.0341
2011013007 0 0.0013 0.0345
2011013008 0 0.0053 0.0345
2011013009 0 0.012 0.0344
2011013010 0 0.0167 0.034
2011013011 0 0.0147 0.0336
2011013012 0 0.018 0.0332
2011013013 0 0.0187 0.0328
2011013014 0 0.01 0.0328
2011013015 0 0.0033 0.0325
2011013016 0 0 0.0325
2011013017 0 0 0.0325
2011013018 0 0 0.0325
2011013019 0 0 0.0325
2011013020 0 0 0.0324
2011013021 0 0 0.0321
2011013022 0 0 0.0319
2011013023 0 0 0.0319
2011013100 0 0 0.0319
2011013101 0 0 0.0316
2011013102 0 0 0.0316
2011013103 0 0 0.0316
2011013104 0 0 0.0316
2011013105 0 0 0.0316
2011013106 0 0 0.0316
2011013107 0 7e-04 0.0316
2011013108 0 0.0052 0.0314
2011013109 0 0.0104 0.0312
2011013110 0 0.0157 0.031
2011013111 0 0.0179 0.0307
2011013112 0 0.0179 0.0305
2011013113 0 0.0187 0.0303
2011013114 0 0.0097 0.0303
2011013115 0 0.0037 0.0303
2011013116 0 0 0.0303
2011013117 0 0 0.0303
2011013118 0 0 0.0303
2011013119 0 0 0.0303
2011013120 0 0 0.0303
2011013121 0 0 0.03
2011013122 0 0 0.03
2011013123 0 0 0.03
2011020100 0 0 0.03
2011020101 0 0 0.0299
2011020102 0 0 0.0297
2011020103 0 0 0.0297
2011020104 0 0 0.0297
2011020105 0 0 0.0294
2011020106 0 0 0.0292
2011020107 0 0.0013 0.029
2011020108 0 0.0045 0.0288
2011020109 0 0.0097 0.0284
2011020110 0 0.0156 0.028
2011020111 0 0.0201 0.0277
2011020112 0 0.0201 0.0276
2011020113 0 0.0149 0.0274
2011020114 0 0.0097 0.0274
2011020115 0 0.0039 0.0274
2011020116 0 0 0.0274
2011020117 0 0 0.0274
2011020118 0.1 0 0.0273
2011020119 0.3 0 0.0271
2011020120 0.2 0 0.0271
2011020121 0.1 0 0.0271
2011020122 0.1 0 0.0271
2011020123 0.1 0 0.0271
2011020200 0.1 0 0.0271
2011020201 0 0 0.0271
2011020202 0 0 0.0271
2011020203 0 0 0.0271
2011020204 0 0 0.0271
2011020205 0 0 0.0271
2011020206 0 0 0.0271
2011020207 0 0.0016 0.0271
2011020208 0 0.0094 0.0271
2011020209 0 0.0134 0.0271
2011020210 0 0.0189 0.0271
2011020211 0 0.0181 0.0274
2011020212 0 0.0157 0.0277
2011020213 0 0.011 0.0277
2011020214 0 0.0087 0.028
2011020215 0 0.0031 0.029
2011020216 0 0 0.0299
2011020217 0 0 0.0305
2011020218 0 0 0.0311
2011020219 0 0 0.0316
2011020220 0 0 0.0321
2011020221 0.4 0 0.0326
2011020222 0 0 0.0332
2011020223 0 0 0.0339
2011020300 0.1 0 0.0349
2011020301 1.9 0 0.0358
2011020302 0.9 0 0.0367
